City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
381,Manzanillo,CU,79.07,20.3433,-77.1167,few clouds,"HOSTAL ""THE YELLOW HOUSE"""
389,Hervey Bay,AU,77.34,-25.2986,152.8535,scattered clouds,Shelly Bay Resort
390,Oistins,BB,82.49,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
391,Sabang,ID,80.91,5.8933,95.3214,overcast clouds,Hotel Citra
395,Isangel,VU,80.71,-19.55,169.2667,broken clouds,Tanna Lodge
399,Fremont,US,76.1,37.5483,-121.9886,clear sky,Best Western Plus Garden Court Inn
403,Nhulunbuy,AU,88.41,-12.2333,136.7667,broken clouds,East Arnhem Real Estate
415,Papara,BR,79.2,-3.9839,-38.7273,broken clouds,CAMPOS MARANGUAPE
417,Kaohsiung,TW,76.03,22.6163,120.3133,broken clouds,御宿商旅-中山館
427,Umm Lajj,SA,78.22,25.0213,37.2685,clear sky,Moon light Furnished Units
438,Kavaratti,IN,81.91,10.5669,72.642,overcast clouds,Green leaf
440,Morondava,MG,75.06,-20.2833,44.2833,broken clouds,La Case Bambou
441,Arauca,CO,84.2,7.0847,-70.7591,few clouds,Hotel Verano Plaza
443,Vaitape,PF,79.63,-16.5167,-151.75,light rain,Conrad Bora Bora Nui
446,Acapulco,MX,84.02,16.8634,-99.8901,light rain,HS Hotsson Smart Acapulco
451,Faanui,PF,79.65,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
453,Auki,SB,84.69,-8.7676,160.7034,scattered clouds,Auki Motel
456,Am Timan,TD,75.04,11.0297,20.2827,clear sky,Palais du chef Canton Salamt
463,Cayenne,GF,80.64,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
465,Luwuk,ID,79.57,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
471,Muisne,EC,75.07,0.6,-80.0333,overcast clouds,Quinta Samay
477,Jacmel,HT,78.64,18.2342,-72.5347,light rain,Historic Hotel Florita
480,Kailua,US,87.78,21.4022,-157.7394,light rain,Sheffield House Bed & Breakfast
485,Salinopolis,BR,80.89,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
486,Amapa,BR,81.97,1.0,-52.0,overcast clouds,
487,Nicolas Bravo,MX,78.1,18.45,-88.9167,light rain,
490,Port-Gentil,GA,78.76,-0.7193,8.7815,thunderstorm,Fengshui Residence
492,Tabatinga,BR,80.69,-4.2525,-69.9381,scattered clouds,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
493,La Orilla,MX,82.29,17.9833,-102.2333,scattered clouds,Baymont by Wyndham Lazaro Cardenas
494,Bowen,AU,83.41,-20.0167,148.2333,scattered clouds,Castle Motor Lodge Motel
496,Biltine,TD,75.18,14.5333,20.9167,clear sky,Hôtel Trois Étoiles de Biltine
498,Lazaro Cardenas,MX,82.49,17.9583,-102.2,scattered clouds,HOTEL QUINTA ANTIGUA
500,Sibolga,ID,75.09,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
502,Maceio,BR,76.44,-9.6658,-35.7353,clear sky,Hotel Ponta Verde Maceió
506,Dakar,SN,81.48,14.6937,-17.4441,overcast clouds,Novotel Dakar
511,Buala,SB,85.08,-8.145,159.5921,scattered clouds,Maringe Lagoon Lodge
512,Aquiraz,BR,80.69,-3.9014,-38.3911,broken clouds,Pousada Rua Camurupim
513,Oriximina,BR,84.69,-1.7656,-55.8661,overcast clouds,Pousada Tia Amélia
514,Sokoni,TZ,76.73,-6.4333,39.55,broken clouds,Ujamaa Beach Resort
520,Tiarei,PF,82.42,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
521,Santa Fe Do Sul,BR,81.36,-20.2111,-50.9258,clear sky,Litani Park Hotel - Hotel Santa Fé do Sul
522,Nieuw Nickerie,SR,80.2,5.95,-56.9833,overcast clouds,Ishwardat Inn
523,Cabo San Lucas,MX,86.61,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
524,Hirara,JP,75.06,24.8,125.2833,broken clouds,Hotel Atoll Emerald Miyakojima
527,Atar,MR,87.94,20.5169,-13.0499,overcast clouds,Oumou Elghoura
528,Niamey,NE,88.09,13.5137,2.1098,few clouds,Soluxe Hotel Niamey
534,Tautira,PF,78.01,-17.7333,-149.15,light rain,Pension Oaoa
539,Magaria,NE,80.4,12.9983,8.9099,broken clouds,Chez Honorable Chapiou
540,Omboue,GA,76.78,-1.5746,9.2618,overcast clouds,Hotel Olako
548,Dicabisagan,PH,76.8,17.0818,122.4157,overcast clouds,Nancy Montanes Bernardo
554,Poum,NC,77.27,-20.2333,164.0167,clear sky,
556,Miri,MY,75.34,4.4148,114.0089,scattered clouds,"Mega Hotel, Miri"
558,Augusto Correa,BR,79.45,-1.0217,-46.635,broken clouds,Fazenda Bacuri
561,Siquijor,PH,82.65,9.2142,123.515,light rain,Villa Marmarine Resort
564,Careiro Da Varzea,BR,79.43,-3.2003,-59.8119,light rain,POUSADA DA ALDENORA
565,Biak,ID,78.87,-0.9131,122.8766,overcast clouds,Penginapan Kim
574,Noumea,NC,84.18,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
576,Lahad Datu,MY,77.09,5.0268,118.327,overcast clouds,The 27th House
577,Saraland,US,77.41,30.8207,-88.0706,broken clouds,Microtel Inn & Suites by Wyndham Saraland/North Mobile
578,Les Cayes,HT,78.78,18.2,-73.75,few clouds,Villa Orphee
579,San Antonio,US,80.06,29.4241,-98.4936,clear sky,Drury Plaza Hotel San Antonio Riverwalk
592,Manaure,CO,79.47,11.7751,-72.4445,overcast clouds,Hotel Palaaima
593,Kiama,AU,75.25,-34.6833,150.8667,broken clouds,The Sebel Kiama Harbourside
595,Lope De Vega,PH,78.62,12.2983,124.6238,moderate rain,
603,Sorong,ID,80.42,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
604,Port Blair,IN,79.11,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
606,Mersing,MY,75.11,2.4312,103.8405,heavy intensity rain,Timotel Hotel
608,Ocos,GT,86.18,14.5094,-92.1933,scattered clouds,Auto Hotel El Soñador
614,Laguna,US,76.05,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
615,Parintins,BR,78.71,-2.6283,-56.7358,light rain,Cama e Cafe
619,San Pedro,PH,78.03,14.35,121.0167,broken clouds,Palines Apartment and Guesthouse
621,Labuhan,ID,78.19,-6.8844,112.2051,overcast clouds,DoubleFAG
627,Olinda,BR,80.33,-8.0089,-34.8553,scattered clouds,Flat Quatro Rodas Olinda
628,Makakilo City,US,86.32,21.3469,-158.0858,scattered clouds,Marriott's Ko Olina Beach Club
629,Matara,LK,75.76,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
632,Sao Domingos,BR,80.55,-13.3983,-46.3183,overcast clouds,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
633,Dong Hoi,VN,75.06,17.4833,106.6,overcast clouds,Nam Long Hotel
638,Portobelo,PA,79.95,9.55,-79.65,light rain,Scuba Portobelo
643,Wanning,CN,75.96,18.8003,110.3967,overcast clouds,Paradise Hotel
645,Vila Do Maio,CV,77.79,15.1333,-23.2167,overcast clouds,Hotel Marilu
649,Sulangan,PH,81.88,11.1373,123.7228,overcast clouds,Maia's Beach Resort
657,Harper,LR,77.34,4.375,-7.7169,moderate rain,Screensaver
663,Fuerte Olimpo,PY,81.21,-21.0415,-57.8738,clear sky,Hospedaje DAMI
664,Cockburn Town,TC,80.53,21.4612,-71.1419,overcast clouds,Osprey Beach Hotel
665,Mogadishu,SO,77.9,2.0371,45.3438,overcast clouds,Hotel Juba
670,Meulaboh,ID,76.77,4.1363,96.1285,overcast clouds,Kost Pria
674,Hambantota,LK,76.15,6.1241,81.1185,moderate rain,Bungalow 63
677,Ati,TD,80.33,13.2154,18.3353,clear sky,
678,Cap-Haitien,HT,79.3,19.7578,-72.2042,light rain,Habitation Jouissant
680,Nabire,ID,83.73,-3.3667,135.4833,overcast clouds,Hotel Nusantara I
682,Alyangula,AU,85.32,-13.8483,136.4192,few clouds,Groote Eylandt Lodge
